ID,ECU_SEND_LOCALTIME,EMA_RECEIVE_LOCALTIME,REV1,REV3,ENCLOSURE_TEMP,HOUR_SUB,ECU_NO,OPT_NO,CHANNEL,OUTPUT_VOLTAGE,OUTPUT_CURRENT,OUTPUT_POWER,OUTPUT_ENERGY,INPUT_VOLTAGE,INPUT_CURRENT,INPUT_POWER,INPUT_ENERGY,TYPE,project_id,Cluster,GroupID
155,2019-01-01 07:00:20,2019-01-01 07:11:17,20190101,,-100,7,217000000027,611000000822,1,0.0,0.0,0.0,0.0,10.4,0.0,0.1,1e-06,10,SW.JS.021.001,-1,0
156,2019-01-01 07:00:20,2019-01-01 07:11:17,20190101,,-100,7,217000000027,611000000822,2,,,,,29.6,0.0,0.4,1.6e-05,10,SW.JS.021.001,-1,0
289,2019-01-01 07:10:20,2019-01-01 07:16:20,20190101,,-100,7,217000000027,611000000615,1,0.0,0.0,0.0,0.0,29.9,0.0,0.4,3e-05,10,SW.JS.021.001,-1,1
290,2019-01-01 07:10:20,2019-01-01 07:16:20,20190101,,-100,7,217000000027,611000000615,2,,,,,30.9,0.0,0.4,6.6e-05,10,SW.JS.021.001,-1,1
373,2019-01-01 07:10:20,2019-01-01 07:16:20,20190101,,-100,7,217000000027,611000000822,1,0.0,0.0,0.0,0.0,29.9,0.0,0.1,9e-06,10,SW.JS.021.001,-1,1
374,2019-01-01 07:10:20,2019-01-01 07:16:20,20190101,,-100,7,217000000027,611000000822,2,,,,,29.9,0.0,0.1,1.3e-05,10,SW.JS.021.001,-1,1
469,2019-01-01 07:15:20,2019-01-01 07:21:24,20190101,,-100,7,217000000027,611000000555,1,0.0,0.0,0.0,0.0,17.7,0.0,0.0,0.0,10,SW.JS.021.001,-1,2
507,2019-01-01 07:15:20,2019-01-01 07:21:24,20190101,,-100,7,217000000027,611000000615,1,0.0,0.0,0.0,0.0,31.0,0.0,0.3,2.4e-05,10,SW.JS.021.001,-1,2
508,2019-01-01 07:15:20,2019-01-01 07:21:24,20190101,,-100,7,217000000027,611000000615,2,,,,,26.2,0.0,0.2,2.2e-05,10,SW.JS.021.001,-1,2
587,2019-01-01 07:15:20,2019-01-01 07:21:24,20190101,,-100,7,217000000027,611000000822,1,0.0,0.0,0.0,0.0,30.7,0.0,0.1,9e-06,10,SW.JS.021.001,-1,2
588,2019-01-01 07:15:20,2019-01-01 07:21:24,20190101,,-100,7,217000000027,611000000822,2,,,,,30.9,0.0,0.1,9e-06,10,SW.JS.021.001,-1,2
711,2019-01-01 07:20:20,2019-01-01 07:26:27,20190101,,-100,7,217000000027,611000000615,1,0.0,0.0,0.0,0.0,31.8,0.0,0.3,3.6e-05,10,SW.JS.021.001,-1,3
712,2019-01-01 07:20:20,2019-01-01 07:26:27,20190101,,-100,7,217000000027,611000000615,2,,,,,24.9,0.0,0.3,2.8000000000000003e-05,10,SW.JS.021.001,-1,3
717,2019-01-01 07:20:20,2019-01-01 07:26:27,20190101,,-100,7,217000000027,611000000632,1,0.0,0.0,0.0,0.0,15.1,0.0,0.0,6e-06,10,SW.JS.021.001,-1,3
913,2019-01-01 07:25:20,2019-01-01 07:36:30,20190101,,-100,7,217000000027,611000000615,1,0.0,0.0,0.0,0.0,32.3,0.0,0.4,3.7e-05,10,SW.JS.021.001,-1,4
914,2019-01-01 07:25:20,2019-01-01 07:36:30,20190101,,-100,7,217000000027,611000000615,2,,,,,29.3,0.0,0.3,2.7e-05,10,SW.JS.021.001,-1,4
973,2019-01-01 07:25:20,2019-01-01 07:36:30,20190101,,-100,7,217000000027,611000000822,1,0.0,0.0,0.0,0.0,32.3,0.0,0.1,1.2e-05,10,SW.JS.021.001,-1,4
1081,2019-01-01 07:35:20,2019-01-01 07:41:34,20190101,,-100,7,217000000027,611000000615,1,0.0,0.0,0.0,0.0,33.3,0.0,0.4,7.7e-05,10,SW.JS.021.001,-1,5
1082,2019-01-01 07:35:20,2019-01-01 07:41:34,20190101,,-100,7,217000000027,611000000615,2,,,,,29.3,0.0,0.3,5.9e-05,10,SW.JS.021.001,-1,5
1163,2019-01-01 07:35:20,2019-01-01 07:41:34,20190101,,-100,7,217000000027,611000000822,1,0.0,0.0,0.0,0.0,33.4,0.0,0.1,1.6e-05,10,SW.JS.021.001,-1,5
1299,2019-01-01 07:45:20,2019-01-01 07:51:37,20190101,,-100,7,217000000027,611000000615,1,0.0,0.0,0.0,0.0,34.0,0.0,0.4,5.9e-05,10,SW.JS.021.001,-1,6
1300,2019-01-01 07:45:20,2019-01-01 07:51:37,20190101,,-100,7,217000000027,611000000615,2,,,,,30.6,0.0,0.3,4.5e-05,10,SW.JS.021.001,-1,6
1383,2019-01-01 07:45:20,2019-01-01 07:51:37,20190101,,-100,7,217000000027,611000000822,1,0.0,0.0,0.0,0.0,33.8,0.0,0.1,1.7e-05,10,SW.JS.021.001,-1,6
1384,2019-01-01 07:45:20,2019-01-01 07:51:37,20190101,,-100,7,217000000027,611000000822,2,,,,,26.7,0.0,0.1,1.3e-05,10,SW.JS.021.001,-1,6
1597,2019-01-01 07:50:20,2019-01-01 07:56:42,20190101,,-100,7,217000000027,611000000816,1,0.0,0.0,0.0,0.0,22.5,0.1,3.4,0.000281,10,SW.JS.021.001,-1,7
1625,2019-01-01 07:55:20,2019-01-01 08:01:46,20190101,,-100,7,217000000027,611000000339,1,0.0,0.0,0.0,0.0,18.9,0.2,3.9,0.000331,10,SW.JS.021.001,-1,8
2017,2019-01-01 08:00:20,2019-01-01 08:06:50,20190101,,-100,8,217000000027,611000000786,1,0.0,0.0,0.0,0.0,16.9,0.2,3.5,0.000287,10,SW.JS.021.001,-1,9
2058,2019-01-01 08:00:20,2019-01-01 08:06:50,20190101,,-100,8,217000000027,611000000845,2,,,,,17.4,0.0,0.0,1e-06,10,SW.JS.021.001,-1,9
2155,2019-01-01 08:05:20,2019-01-01 08:11:53,20190101,,-100,8,217000000027,611000000588,1,0.0,0.0,0.0,0.0,19.0,0.1,3.6,0.000312,10,SW.JS.021.001,-1,10
2351,2019-01-01 08:10:20,2019-01-01 08:16:57,20190101,,-100,8,217000000027,611000000521,1,0.0,0.0,0.0,0.0,19.1,0.4,9.3,0.000761,10,SW.JS.021.001,-1,11
2493,2019-01-01 08:10:20,2019-01-01 08:16:57,20190101,,-100,8,217000000027,611000000842,1,0.0,0.0,0.0,0.0,21.5,0.4,9.4,0.000762,10,SW.JS.021.001,-1,11
3047,2019-01-01 08:25:20,2019-01-01 08:32:13,20190101,,-100,8,217000000027,611000000599,1,0.0,0.0,0.0,0.0,35.4,0.2,7.4,0.000617,10,SW.JS.021.001,-1,14
3069,2019-01-01 08:25:20,2019-01-01 08:32:13,20190101,,-100,8,217000000027,611000000634,1,0.0,0.0,0.0,0.0,35.3,0.2,7.5,0.000623,10,SW.JS.021.001,-1,14
3129,2019-01-01 08:25:20,2019-01-01 08:32:13,20190101,,-100,8,217000000027,611000000807,1,0.0,0.0,0.0,0.0,26.9,0.4,11.4,0.0009369999999999,10,SW.JS.021.001,-1,14
3263,2019-01-01 08:30:20,2019-01-01 08:37:18,20190101,,-100,8,217000000027,611000000593,1,0.0,0.0,0.0,0.0,35.6,0.4,14.5,0.001224,10,SW.JS.021.001,-1,15
3369,2019-01-01 08:30:20,2019-01-01 08:37:18,20190101,,-100,8,217000000027,611000000838,1,0.0,0.0,0.0,0.0,26.1,0.6,17.9,0.001521,10,SW.JS.021.001,-1,15
3563,2019-01-01 08:35:20,2019-01-01 08:42:22,20190101,,-100,8,217000000027,611000000798,1,0.0,0.0,0.0,0.0,19.0,1.1,21.2,0.00178,10,SW.JS.021.001,-1,16
3749,2019-01-01 08:40:20,2019-01-01 08:47:27,20190101,,-100,8,217000000027,611000000666,1,0.0,0.0,0.0,0.0,35.8,0.5,20.8,0.00171,10,SW.JS.021.001,-1,17
3809,2019-01-01 08:40:20,2019-01-01 08:47:27,20190101,,-100,8,217000000027,611000000838,1,0.0,0.0,0.0,0.0,35.9,0.2,8.8,0.000721,10,SW.JS.021.001,-1,17
3861,2019-01-01 08:45:20,2019-01-01 08:52:31,20190101,,-100,8,217000000027,611000000430,1,0.0,0.0,0.0,0.0,20.2,0.9,19.3,0.001612,10,SW.JS.021.001,-1,18
3899,2019-01-01 08:45:20,2019-01-01 08:52:31,20190101,,-100,8,217000000027,611000000555,1,0.0,0.0,0.0,0.0,36.0,0.3,12.8,0.001064,10,SW.JS.021.001,-1,18
3900,2019-01-01 08:45:20,2019-01-01 08:52:31,20190101,,-100,8,217000000027,611000000555,2,,,,,32.3,0.4,13.9,0.001158,10,SW.JS.021.001,-1,18
4029,2019-01-01 08:45:20,2019-01-01 08:52:31,20190101,,-100,8,217000000027,611000000838,1,0.0,0.0,0.0,0.0,36.0,0.2,8.9,0.000766,10,SW.JS.021.001,-1,18
